#B[Tesla]		Magentization[B.M.]	
0.0483558994197  0.199914033957
0.141199226306  0.410853212981
0.176015473888  0.566344294004
0.222437137331  0.721813883516
0.338491295938  0.999376746185
0.384912959381  1.17706855792
0.489361702128  1.51020846766
0.558994197292  1.71007951859
0.675048355899  1.97653127015
0.767891682785  2.18747044917
0.895551257253  2.431678487
0.988394584139  2.7203954438
1.16247582205  2.97562862669
1.2669245648  3.18654631421
1.33655705996  3.33086180959
1.63829787234  3.65252525253
1.48742746615  3.51947130883
1.916827853  3.81867612293
1.94003868472  4.05196647324
2.04448742747  4.08510638298
1.82398452611  3.78551472168
2.23017408124  4.20698474103
2.38104448743  4.3178164625
2.61315280464  4.39516441006
2.97292069632  4.56116483989
2.79883945841  4.43926499033
3.19342359768  4.60520094563
3.36750483559  4.59376746185
3.62282398453  4.70440575972
3.78529980658  4.73743821191
4.12185686654  4.75903718031
3.94777562863  4.71491510853
4.4003868472  4.79185471739
4.56286266925  4.88044272512
4.82978723404  4.81328175371
5.02707930368  4.91291639802
5.15473887814  4.86823554696
5.3752417795  4.87893831936
5.51450676983  4.91201375457
5.67698259188  4.94504620675
5.80464216634  4.96703202235
5.94390715667  4.95566301311
6.16441005803  4.93303245218
6.47775628627  4.96578551472
6.66344294004  4.96544165055
6.39651837524  4.97704706641
0.918762088975  2.58719105953
0.384912959381  1.37706855792
