#B[Tesla]		Magentization[B.M.]	
0.0251450676983  0.0574018126888
0.0831721470019  0.202416918429
0.106382978723  0.283987915408
0.176015473888  0.429003021148
0.268858800774  0.537764350453
0.292069632495  0.664652567976
0.396518375242  0.845921450151
0.454545454545  1.04531722054
0.512572533849  1.11782477341
0.593810444874  1.29909365559
0.68665377176  1.42598187311
0.756286266925  1.54380664653
0.83752417795  1.68882175227
0.930367504836  1.81570996979
0.965183752418  1.9335347432
1.08123791103  2.05135951662
1.12765957447  2.17824773414
1.2669245648  2.31419939577
1.3249516441  2.41389728097
1.40618955513  2.47734138973
1.48742746615  2.59516616314
1.63829787234  2.68580060423
1.67311411992  2.76737160121
1.82398452611  2.87613293051
1.916827853  2.95770392749
2.11411992263  3.10271903323
2.32301740812  3.21148036254
2.36943907157  3.29305135952
2.55512572534  3.39274924471
2.70599613153  3.3836858006
2.78723404255  3.42900302115
2.96131528046  3.51057401813
3.2746615087  3.583081571
3.35589941973  3.64652567976
3.12379110251  3.55589123867
3.52998065764  3.67371601208
3.72727272727  3.72809667674
4.00580270793  3.78247734139
4.29593810445  3.81873111782
4.41199226306  3.81873111782
4.57446808511  3.83685800604
4.8413926499  3.86404833837
4.99226305609  3.85498489426
5.08510638298  3.88217522659
5.30560928433  3.9003021148
5.46808510638  3.92749244713
5.7582205029  3.91842900302
5.64216634429  3.92749244713
5.92069632495  3.94561933535
6.21083172147  3.93655589124
6.38491295938  3.97280966767
6.6170212766  3.91842900302
6.083172147  3.95468277946
